City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
324,Mackay,-21.15,149.2,89.69,58,0,9.71,AU,clear sky
325,Havre-Saint-Pierre,50.2334,-63.5986,37.4,86,20,8.05,CA,few clouds
326,Gorontalo,0.5412,123.0595,90.21,59,93,1.92,ID,overcast clouds
327,Harrison,30.4091,-89.0436,53.67,61,1,5.75,US,clear sky
328,Nyurba,63.2842,118.3319,-11.11,96,100,2.59,RU,overcast clouds
329,Mehamn,71.0357,27.8492,34.86,98,100,24.76,NO,light snow
330,Helena,46.5927,-112.0361,44.31,76,90,5.01,US,overcast clouds
331,Buluang,13.3068,123.3425,83.19,79,79,1.05,PH,broken clouds
332,Roebourne,-20.7833,117.1333,91.47,27,17,6.46,AU,few clouds
333,Tarakan,3.3,117.6333,81.9,94,40,2.3,ID,scattered clouds
334,Nuuk,64.1835,-51.7216,27.21,74,90,26.46,GL,light snow
335,Lagoa,39.05,-27.9833,64.98,75,99,22.97,PT,overcast clouds
336,Buala,-8.145,159.5921,85.8,62,100,2.21,SB,light rain
337,Tura,25.5198,90.2201,67.46,73,20,1.97,IN,few clouds
338,Ko Samui,9.5357,99.9357,85.91,79,20,0.0,TH,few clouds
339,Santa Maria Da Vitoria,-13.3947,-44.1886,72.79,83,98,2.15,BR,overcast clouds
340,Garden City,42.3256,-83.331,37.65,69,75,5.75,US,broken clouds
341,Shingu,33.7333,135.9833,67.19,51,0,3.8,JP,clear sky
342,Namatanai,-3.6667,152.4333,83.41,72,96,5.86,PG,light rain
